date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:58	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:45:59%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F&format=xml	C:/drage/bootcampjs/bootcamp.lv/indexb0fb.php	(from https://bootcamp.lv/)
21:45:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20Jul%202020%2018:46:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/drage/bootcampjs/www.googletagmanager.com/gtm.135445.delayed	(from https://bootcamp.lv/)
21:45:59	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2010%20Jul%202020%2018:46:00%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/drage/bootcampjs/connect.facebook.net/en_US/fbevents.js	(from https://bootcamp.lv/)
21:45:59	332450/332450	---M--	200	added ('OK')	image/jpeg	etag:%22512a2-57f952ddf0b00%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/images/promo.jpg	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/images/promo.jpg	(from https://bootcamp.lv/)
21:45:59	4409/4409	---M--	200	added ('OK')	image/png	etag:%221139-57f952da20200%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/images/bootcamp-accenture.png	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/images/bootcamp-accenture.png	(from https://bootcamp.lv/)
21:46:00	141252/141252	---M--	200	added ('OK')	application/pdf	etag:%22227c4-5961c432fa580%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/files/RTU_Procedure_Accenture_practical_skills_promotion_scholarship_contest_30_10.pdf	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/files/RTU_Procedure_Accenture_practical_skills_promotion_scholarship_contest_30_10.pdf	(from https://bootcamp.lv/)
21:46:00	56949/56949	---M-Z	200	added ('OK')	application/javascript	etag:%22de75-5a8e891f22d80-gzip%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/scripts/vendor.bundle.js	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/scripts/vendor.bundle.js	(from https://bootcamp.lv/)
21:46:00	69881/69881	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:01%20GMT	https://bootcamp.lv/?post_type=course	C:/drage/bootcampjs/bootcamp.lv/index45b5.html	(from https://bootcamp.lv/)
21:46:00	6880/6880	---M-Z	200	added ('OK')	application/javascript	etag:%221ae0-5a8e891f22d80-gzip%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/scripts/main.bundle.js	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/scripts/main.bundle.js	(from https://bootcamp.lv/)
21:46:01	1399/1399	---M-Z	200	added ('OK')	application/javascript	etag:%22577-59c298253f891-gzip%22	https://bootcamp.lv/wp-includes/js/wp-embed.min.js	C:/drage/bootcampjs/bootcamp.lv/wp-includes/js/wp-embed.min.js	(from https://bootcamp.lv/)
21:46:02	51239/51239	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:02%20GMT	https://bootcamp.lv/?type=programming	C:/drage/bootcampjs/bootcamp.lv/index137c.html	(from https://bootcamp.lv/)
21:46:02	54369/54369	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:02%20GMT	https://bootcamp.lv/?type=programming-and-consulting	C:/drage/bootcampjs/bootcamp.lv/indexe5e2.html	(from https://bootcamp.lv/)
21:46:02	50938/50938	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:02%20GMT	https://bootcamp.lv/?page_id=73	C:/drage/bootcampjs/bootcamp.lv/index188e.html	(from https://bootcamp.lv/)
21:46:02	49669/49669	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:02%20GMT	https://bootcamp.lv/?type=consulting	C:/drage/bootcampjs/bootcamp.lv/index5eb5.html	(from https://bootcamp.lv/)
21:46:04	45721/45721	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:03%20GMT	https://bootcamp.lv/?page_id=334	C:/drage/bootcampjs/bootcamp.lv/index9d48.html	(from https://bootcamp.lv/)
21:46:04	47073/47073	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:03%20GMT	https://bootcamp.lv/?page_id=345	C:/drage/bootcampjs/bootcamp.lv/indexe909.html	(from https://bootcamp.lv/)
21:46:04	43861/43861	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:04%20GMT	https://bootcamp.lv/?page_id=349	C:/drage/bootcampjs/bootcamp.lv/index179c.html	(from https://bootcamp.lv/)
21:46:04	43899/43899	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:46:04%20GMT	https://bootcamp.lv/?page_id=353	C:/drage/bootcampjs/bootcamp.lv/index92e6.html	(from https://bootcamp.lv/)
